food,Energy,Protein,Total lipid (fat),Protein_per_100Cal,Fat_per_100Cal,category
"Sweet potatoes, orange flesh, without skin, raw",78.178136875,1.578125,0.375,2.0186270267904742,0.4796737489403107,Other
"Swordfish, frozen, wild caught",151.855,19.2375,8.12257142857143,12.668334924763757,5.348899561141503,Poultry & Fish
"Tomato juice, with added ingredients, from concentrate, shelf stable",21.617690625,0.859375,0.2875,3.975332124543253,1.3299292925744697,Other
"Tomato, paste, canned, without salt added",96.408503125,4.234375,0.7325,4.392117772547358,0.7597877534207386,Other
"Tomato, puree, canned",37.802659375000005,1.578125,0.265,4.17464016048474,0.7010088823942693,Other
"Tomato, roma",20.455880375,0.695625,0.425,3.400611399987228,2.077642185077551,Other
"Tomato, sauce, canned, with salt added",31.640250625,1.351875,0.3825,4.272643146928297,1.208903192750863,Other
"Tomatoes, canned, red, ripe, diced",19.0,0.84,0.5,4.421052631578947,2.631578947368421,Other
"Tomatoes, crushed, canned",35.0945825,1.4375,0.3975,4.096073802844071,1.1326534515690565,Other
"Tomatoes, grape, raw",28.33333333333333,0.83,0.63,2.9294117647058826,2.223529411764706,Other
"Tomatoes, whole, canned, solids and liquids, with salt added",20.8128745,0.8675,0.2063,4.168093167524746,0.9912133953433486,Other
"Tuna, ahi or yellowfin, frozen, wild caught",101.8695,24.7,0.3875,24.24670779772159,0.3803886344784258,Poultry & Fish
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",217.66666666666663,27.1,11.6,12.450229709035224,5.329249617151609,Poultry & Fish
"Turkey, ground, 93% lean/ 7% fat, raw",155.10235,17.34375,9.591,11.182132314565187,6.183658725996092,Poultry & Fish
"Turnips, raw",33.9816,0.953125,0.1255428571428571,2.8048267297596343,0.3694436316796651,Other
"Watermelon, seedless, rind only, raw",23.8993,0.53125,0.96095,2.2228684522140814,4.020829061939053,Other
"Wild rice, dry, raw",363.858315,12.7875,1.703,3.5144174182195065,0.4680393245925959,Cereals
"Yogurt, Greek, plain, nonfat",60.333333333333336,10.3,0.37,17.07182320441989,0.6132596685082873,Other
"Yogurt, Greek, plain, whole milk",94.0923675,8.77888,4.394,9.330066011996136,4.669879307691987,Other
"Yogurt, Greek, strawberry, nonfat",82.66666666666667,8.06,0.15,9.75,0.1814516129032257,Other
"Yogurt, plain, nonfat",50.037935,4.22675,0.0875,8.447091191912696,0.1748673281581264,Other
"Yogurt, plain, whole milk",77.6354729,3.824172,4.484,4.925804992423767,5.775710293895821,Other
